eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,ncasualities,date
202101010024,2021,1,2,,0,,182,Somalia,11,Sub-Saharan Africa,Lower Juba,Kismayo,-0.357847,42.546652,1,0,The incident occurred in Farjarno neighborhood.,"01/02/2021: An explosive device detonated targeting the vehicle of Khalif Hashim Nur in Farjarno neighborhood, Kismayo, Lower Juba, Somalia. Nur, a member of the Jubaland state parliament, was killed in the blast. Al-Shabaab claimed responsibility for the incident.",1,1,1,0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Government of Jubaland,Vehicle of Parliament Member: Khalif Hashim Nur,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,1,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,29.0,Sticky Bomb,,,,,,,,,,,,,A sticky bomb attached to a car was used in the attack.,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Vehicle damaged,0,,,,,,,,,,,,,,,,,"""Jubbaland lawmaker killed in car bomb blast,"" Africa Direct.news, January 2, 2021.","""Somali lawmaker killed in a sticky bomb attack on his car,"" HornNews24.com, January 2, 2021.","""Al-Shabab claims killing regional MP in southern Somalia,"" Radio Al-Furqaan website, January 2, 2021.",START Primary Collection,0,0,0,0,,1.0,01/02/2021
202101020009,2021,1,2,,0,,182,Somalia,11,Sub-Saharan Africa,Lower Shebelle,Lafoole,2.099684,45.15723,1,0,The incident occurred on the road between Mogadishu and Afgoye.,"01/02/2021: A suicide bomber detonated an explosives-laden motorcycle near a Turkish-led construction crew building a road between Mogadishu and Afgooye in Lafoole, Lower Shebelle, Somalia. Six people, including the assailant, were killed and 14 others were wounded in the blast. Al-Shabaab claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,3,Police,25.0,Police Security Forces/Officers,Somali Police Force (SPF),Officers,182.0,Somalia,14.0,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,Unknown,Construction Workers,209.0,Turkey,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,1,0,1,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,An explosives-laden motorcycle was used in the attack.,6.0,0.0,1.0,14.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Somalia: 5 dead, 14 wounded in suicide bombing at capital Mogadishu; Al-Qaida-linked terror outfit claims responsibility,"" The Freepress Journal, January 2, 2021.","""Suicide attack in Somali capital kills several, including Turkish citizens,"" TRT World, January 2, 2021.","""Update: Two killed among them a Turkish national in Lafoole bomb attack,"" Hiiraan Online, January 2, 2021.",START Primary Collection,0,1,1,1,,20.0,01/02/2021
202101050011,2021,1,5,,0,,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,2.059818,45.326114,1,0,The incident occurred along 21 October road in Waberi neighborhood.,"01/05/2021: An explosive device detonated targeting the vehicle of Sadiq Adan Ali Dodishe, a police spokesperson, on 21 October road, Waberi District, Mogadishu, Banaadir, Somalia. One civilian was killed and an unknown number of people were injured in the blast. The police spokesperson was unharmed. Al-Shabaab claimed responsibility for the incident.",1,1,1,0,,,0.0,0,0,1,Assassination,,,,,3,Police,25.0,Police Security Forces/Officers,Somali Police Force (SAF),Spokesperson: Sadiq Adan Ali Dodishe,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,1,4.0,E-mail,,,,,,,,6,Explosives,8.0,Landmine,,,,,,,,,,,,,A roadside landmine was used in the attack.,1.0,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Vehicle damaged,0,,,,,,,,,,,,,,,,,"""Somalia Police spokesman survives bomb explosion in Mogadishu,"" Radio Garowe, January 6, 2021.","""Civilian killed in blast targeting state official in Somali capital,"" BBC Monitoring, January 7, 2021.","""One killed in roadside bomb targeting police spokesman,"" Radio Dalsan, January 6, 2021.",START Primary Collection,0,0,0,0,,,01/05/2021
202101060006,2021,1,5,,0,,182,Somalia,11,Sub-Saharan Africa,Mudug,Bacaadweyn,7.19283,47.528297,1,0,,"01/05/2021: An explosive device detonated targeting a well in Bacaadweyn, Mudug region, Somalia. This was one of two similar attacks on this day. No casualties resulted from this attack. No group claimed responsibility for the attack; however, sources attributed the attack to Al-Shabaab.",1,1,1,0,,,1.0,1,0,3,Bombing/Explosion,,,,,9,Food or Water Supply,52.0,Water Supply,Unknown,Well,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Well damaged,0,,,,,,,,,,,,,,,,,"""Terrorism Digest: 7-8 Jan 21,"" BBC Monitoring, January 8, 2021.",,,START Primary Collection,0,0,0,0,"202101060006, 202101060007",0.0,01/05/2021
202101060007,2021,1,5,,0,,182,Somalia,11,Sub-Saharan Africa,Mudug,Bacaadweyn,7.19283,47.528297,1,0,,"01/05/2021: An explosive device detonated targeting a well in Bacaadweyn, Mudug region, Somalia. This was one of two similar attacks on this day. No casualties resulted from this attack. No group claimed responsibility for the attack; however, sources attributed the attack to Al-Shabaab.",1,1,1,0,,,1.0,1,0,3,Bombing/Explosion,,,,,9,Food or Water Supply,52.0,Water Supply,Unknown,Well,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Well damaged,0,,,,,,,,,,,,,,,,,"""Terrorism Digest: 7-8 Jan 21,"" BBC Monitoring, January 8, 2021.",,,START Primary Collection,0,0,0,0,"202101060006, 202101060007",0.0,01/05/2021
202101070006,2021,1,7,,0,,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,2.059818,45.326114,1,0,The incident occurred around the KM4 area on Abdi Qasim road.,"01/07/2021: An explosive device detonated targeting the convoy of General Mahad Abdirahman, the chief of the Somali Custodial Corps, around the KM4 area on Abdi Qasim road in Mogadishu, Banaadir, Somalia. Abdirahman was not harmed; however, one person was killed and five people were injured in the blast. Al-Shabaab claimed responsibility for the incident.",1,1,1,0,,,0.0,0,0,1,Assassination,,,,,3,Police,23.0,Police Patrol (including vehicles and convoys),Corrections Corps,Convoy of Chief of Services: Mahad Abdirahman,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,1,10.0,Unknown,,,,,,,,6,Explosives,8.0,Landmine,,,,,,,,,,,,,A roadside landmine was used in the attack.,1.0,0.0,0.0,5.0,0.0,0.0,1,4.0,Unknown,-99.0,Vehicles damaged,0,,,,,,,,,,,,,,,,,"""Bomb attack in Somalia kills 3, injures 7,"" Anadolu Agency (AA), January 7, 2021.","""Roadside bomb blast targets senior security officer in Somalia,"" Radio Garowe, January 7, 2021.","""Somalia.- Seven people die in Al Shabaab attack on Somalia prison service chief,"" CE Noticias Financieras English, January 7, 2021.",START Primary Collection,0,0,0,0,,6.0,01/07/2021
202101080011,2021,1,8,,0,,182,Somalia,11,Sub-Saharan Africa,Mudug,Bacaadweyn,7.19283,47.528297,1,0,,"01/08/2021: Assailants opened fire on residents of Bacaadweyn, Mudug region, Somalia. The resulting casualties are unknown. No group claimed responsibility for the attack; however, sources attributed the attack to Al-Shabaab.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,5.0,Unknown Gun Type,,,,,,,,,Mortars were used in the attack.,,0.0,0.0,,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,"""Terrorism Digest: 7-8 Jan 21,"" BBC Monitoring, January 8, 2021.",,,START Primary Collection,0,0,0,0,,,01/08/2021
202101100023,2021,1,10,,0,,182,Somalia,11,Sub-Saharan Africa,Middle Shebelle,Balcad,2.359127,45.383671,1,0,,"01/10/2021: Assailants launched an attack targeting a military base in Balcad, Middle Shebelle, Somalia. Three soldiers were killed in the attack. Al-Shabaab claimed responsibility for the incident.",1,1,0,1,1.0,Insurgency/Guerilla Action,0.0,1,0,9,Unknown,,,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Somali Armed Forces (SAF),Base,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,1,10.0,Unknown,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,-9,,,,,0,,,,,,,,,,,,,,,,,"""Three soldiers killed in Al-Shabaab ambush in Middle Shabelle,"" Hiiraan Online, January 11, 2021.",,,START Primary Collection,0,0,0,0,,3.0,01/10/2021
202101110012,2021,1,11,,0,,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,2.059818,45.326114,1,0,The incident occurred in Darkheynley neighborhood.,"01/11/2021: An explosive device detonated targeting the vehicle of the Kahda police commissioner in Darkheynley neighborhood, Mogadishu, Banaadir, Somalia. The commissioner was unharmed; however, two people were killed and three people were injured in the blast. Al-Shabaab claimed responsibility for the incident.",1,1,1,0,,,0.0,0,0,1,Assassination,,,,,3,Police,23.0,Police Patrol (including vehicles and convoys),Somali Police Force (SPF),Vehicle of Kahda Police Commissioner,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,1,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,8.0,Landmine,,,,,,,,,,,,,,2.0,0.0,0.0,3.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Vehicle damaged,0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Landmine explosion kills 2 in Somali capital,"" Hiiraan Online, January 12, 2021.","""Landmine explosion kills 2 in Somali capital,"" WardheerNews, January 11, 2021.","""Two people killed in Somali capital explosion,"" Radio Dalsan website, January 11, 2021.",START Primary Collection,0,0,0,0,,5.0,01/11/2021
202101110026,2021,1,11,,1,2021-01-16,104,Kenya,11,Sub-Saharan Africa,Mandera,Mandera,3.938715,41.844706,1,0,The incident occurred along Banisa-Takaba road.,"01/11/2021: An explosive device detonated along the Banisa-Takaba road in Mandera city, Mandera, Kenya. Three government officials were abducted following the blast. The three were released on January 16, 2021. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",1,1,1,0,,,0.0,1,0,6,Hostage Taking (Kidnapping),3.0,Bombing/Explosion,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Kenya National Examination Council (KNEC),Officials,104.0,Kenya,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,8.0,Landmine,13.0,Unknown,,,,,,,,,,,A roadside landmine was used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1,3.0,0.0,,5.0,,,0.0,,,,,,2.0,Hostage(s) released by perpetrators,3.0,,"""Kenya vows to rescue officials abducted by al-Shabab,"" Daily Nation website, January 14, 2021.","""Al-Shabab free 3 Kenyans after 5 days in captivity,"" SINA, January 17, 2021.",,START Primary Collection,1,1,0,1,,0.0,01/11/2021
